target_pair,attribute_pair,PES,p_value
"American+United States, East Asian+South Korea+Japan+China","think independently+innovate+entrepreneurial+creativity+pioneering ideas+critical thinking+innovation+entrepreneurship+individuality+risk-taking, Precision+Diligence+academic success+rigorous+focused+competitive+expertise+disciplined+meticulous+perseverance+structured",-0.8018349605623843,1.0
"American+United States, East Asian+South Korea+Japan+China","think independently+innovate+entrepreneurial+creativity+pioneering ideas+critical thinking+innovation+entrepreneurship+individuality+risk-taking, applied sciences+Practical+hands-on skills+technical knowledge+apprenticeship+real-world settings+problem-solving abilities",0.07330005794920415,0.015827373637200385
"American+United States, East Asian+South Korea+Japan+China","think independently+innovate+entrepreneurial+creativity+pioneering ideas+critical thinking+innovation+entrepreneurship+individuality+risk-taking, cultural values+sustainable development+cultural emphasis+societal benefit+resilience+limited resources",0.5040396750373867,1.2885697213825302e-22
"American+United States, East Asian+South Korea+Japan+China","think independently+innovate+entrepreneurial+creativity+pioneering ideas+critical thinking+innovation+entrepreneurship+individuality+risk-taking, Mathematical Excellence+quantitative skills+mathematical rigor+analytical skills+technical proficiency",-0.8547315248658195,1.0
"American+United States, East Asian+South Korea+Japan+China","Precision+Diligence+academic success+rigorous+focused+competitive+expertise+disciplined+meticulous+perseverance+structured, applied sciences+Practical+hands-on skills+technical knowledge+apprenticeship+real-world settings+problem-solving abilities",1.3878784199561067,0.0
"American+United States, East Asian+South Korea+Japan+China","Precision+Diligence+academic success+rigorous+focused+competitive+expertise+disciplined+meticulous+perseverance+structured, cultural values+sustainable development+cultural emphasis+societal benefit+resilience+limited resources",0.8699965174780452,6.946956179006286e-286
"American+United States, East Asian+South Korea+Japan+China","Precision+Diligence+academic success+rigorous+focused+competitive+expertise+disciplined+meticulous+perseverance+structured, Mathematical Excellence+quantitative skills+mathematical rigor+analytical skills+technical proficiency",-0.9346700983370151,1.0
"American+United States, East Asian+South Korea+Japan+China","applied sciences+Practical+hands-on skills+technical knowledge+apprenticeship+real-world settings+problem-solving abilities, cultural values+sustainable development+cultural emphasis+societal benefit+resilience+limited resources",0.43360555054891414,8.487416322241493e-41
"American+United States, East Asian+South Korea+Japan+China","applied sciences+Practical+hands-on skills+technical knowledge+apprenticeship+real-world settings+problem-solving abilities, Mathematical Excellence+quantitative skills+mathematical rigor+analytical skills+technical proficiency",-1.319078622059403,1.0
"American+United States, East Asian+South Korea+Japan+China","cultural values+sustainable development+cultural emphasis+societal benefit+resilience+limited resources, Mathematical Excellence+quantitative skills+mathematical rigor+analytical skills+technical proficiency",-0.9673601346684007,1.0
"American+United States, European+Germany+Switzerland","think independently+innovate+entrepreneurial+creativity+pioneering ideas+critical thinking+innovation+entrepreneurship+individuality+risk-taking, Precision+Diligence+academic success+rigorous+focused+competitive+expertise+disciplined+meticulous+perseverance+structured",-0.637058031178463,1.0
"American+United States, European+Germany+Switzerland","think independently+innovate+entrepreneurial+creativity+pioneering ideas+critical thinking+innovation+entrepreneurship+individuality+risk-taking, applied sciences+Practical+hands-on skills+technical knowledge+apprenticeship+real-world settings+problem-solving abilities",0.405423849859369,1.235296048912896e-53
"American+United States, European+Germany+Switzerland","think independently+innovate+entrepreneurial+creativity+pioneering ideas+critical thinking+innovation+entrepreneurship+individuality+risk-taking, cultural values+sustainable development+cultural emphasis+societal benefit+resilience+limited resources",0.3154590519531476,3.4985613402721056e-21
"American+United States, European+Germany+Switzerland","think independently+innovate+entrepreneurial+creativity+pioneering ideas+critical thinking+innovation+entrepreneurship+individuality+risk-taking, Mathematical Excellence+quantitative skills+mathematical rigor+analytical skills+technical proficiency",-0.512751866537141,1.0
"American+United States, European+Germany+Switzerland","Precision+Diligence+academic success+rigorous+focused+competitive+expertise+disciplined+meticulous+perseverance+structured, applied sciences+Practical+hands-on skills+technical knowledge+apprenticeship+real-world settings+problem-solving abilities",1.4961437743750798,0.0
"American+United States, European+Germany+Switzerland","Precision+Diligence+academic success+rigorous+focused+competitive+expertise+disciplined+meticulous+perseverance+structured, cultural values+sustainable development+cultural emphasis+societal benefit+resilience+limited resources",0.7893643520333968,0.0
